k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err,P_k_rescaled,P_k_rescaled_std,P_k_rescaled_err
0.000000e+00,2.077083e+02,3.056016e+02,3.056016e+00,6.481521e+01,1.163379e+02,1.163379e+00
2.033942e-03,2.096804e+02,2.189422e+02,2.189422e+00,7.041308e+01,6.941951e+01,6.941951e-01
4.067884e-03,1.921088e+02,2.027303e+02,2.027303e+00,6.314837e+01,6.049298e+01,6.049298e-01
6.101825e-03,1.596396e+02,1.716208e+02,1.716208e+00,5.111319e+01,5.106435e+01,5.106435e-01
8.135767e-03,1.395588e+02,1.431643e+02,1.431643e+00,4.471080e+01,4.300507e+01,4.300507e-01
1.016971e-02,1.183467e+02,1.181919e+02,1.181919e+00,3.856869e+01,3.642860e+01,3.642860e-01
1.220365e-02,1.090533e+02,1.110583e+02,1.110583e+00,3.578712e+01,3.506242e+01,3.506242e-01
1.423759e-02,9.626514e+01,9.835185e+01,9.835185e-01,3.178542e+01,3.123000e+01,3.123000e-01
1.627153e-02,8.669377e+01,8.941702e+01,8.941702e-01,2.904411e+01,2.867489e+01,2.867489e-01
1.830548e-02,7.677352e+01,7.837901e+01,7.837901e-01,2.565372e+01,2.477364e+01,2.477364e-01
2.033942e-02,6.746469e+01,7.004353e+01,7.004353e-01,2.272132e+01,2.266259e+01,2.266259e-01
2.237336e-02,6.280853e+01,6.357013e+01,6.357013e-01,2.161186e+01,2.121470e+01,2.121470e-01
2.440730e-02,5.584774e+01,5.710393e+01,5.710393e-01,1.932667e+01,1.913617e+01,1.913617e-01
2.644124e-02,5.014877e+01,5.271457e+01,5.271457e-01,1.750808e+01,1.793247e+01,1.793247e-01
2.847519e-02,4.525899e+01,4.663480e+01,4.663480e-01,1.595655e+01,1.578612e+01,1.578612e-01
3.050913e-02,4.138485e+01,4.249281e+01,4.249281e-01,1.469757e+01,1.466470e+01,1.466470e-01
3.254307e-02,3.759617e+01,3.908950e+01,3.908950e-01,1.344961e+01,1.368599e+01,1.368599e-01
3.457701e-02,3.347614e+01,3.474079e+01,3.474079e-01,1.217671e+01,1.219338e+01,1.219338e-01
3.661095e-02,3.038087e+01,3.130425e+01,3.130425e-01,1.109386e+01,1.119066e+01,1.119066e-01
3.864489e-02,2.761743e+01,2.854952e+01,2.854952e-01,1.011614e+01,1.007135e+01,1.007135e-01
4.067884e-02,2.504084e+01,2.607042e+01,2.607042e-01,9.317579e+00,9.304708e+00,9.304708e-02
4.271278e-02,2.298446e+01,2.399361e+01,2.399361e-01,8.447084e+00,8.575608e+00,8.575608e-02
4.474672e-02,2.006823e+01,2.070468e+01,2.070468e-01,7.534075e+00,7.595962e+00,7.595962e-02
4.678066e-02,1.798796e+01,1.938173e+01,1.938173e-01,6.853125e+00,7.032014e+00,7.032014e-02
4.881460e-02,1.634566e+01,1.732482e+01,1.732482e-01,6.188546e+00,6.190955e+00,6.190955e-02
5.084854e-02,1.471265e+01,1.532667e+01,1.532667e-01,5.712342e+00,5.736467e+00,5.736467e-02
5.288249e-02,1.342772e+01,1.433245e+01,1.433245e-01,5.160597e+00,5.208423e+00,5.208423e-02
5.491643e-02,1.208213e+01,1.322585e+01,1.322585e-01,4.821206e+00,4.901396e+00,4.901396e-02
5.695037e-02,1.054442e+01,1.140387e+01,1.140387e-01,4.180663e+00,4.258352e+00,4.258352e-02
5.898431e-02,9.454063e+00,1.025228e+01,1.025228e-01,3.793935e+00,3.905628e+00,3.905628e-02
6.101825e-02,8.628934e+00,9.197243e+00,9.197243e-02,3.522711e+00,3.565987e+00,3.565987e-02
6.305220e-02,7.744090e+00,8.193961e+00,8.193961e-02,3.134624e+00,3.134659e+00,3.134659e-02
6.508614e-02,7.011473e+00,7.411518e+00,7.411518e-02,2.865121e+00,2.924919e+00,2.924919e-02
6.712008e-02,6.385210e+00,7.021943e+00,7.021943e-02,2.612446e+00,2.677032e+00,2.677032e-02
6.915402e-02,5.617310e+00,5.912526e+00,5.912526e-02,2.368144e+00,2.384058e+00,2.384058e-02
7.118796e-02,4.993574e+00,5.313594e+00,5.313594e-02,2.069323e+00,2.130324e+00,2.130324e-02
7.322190e-02,4.602394e+00,4.884478e+00,4.884478e-02,1.911777e+00,1.938231e+00,1.938231e-02
7.525585e-02,4.145652e+00,4.430614e+00,4.430614e-02,1.723592e+00,1.758212e+00,1.758212e-02
7.728979e-02,3.721218e+00,4.007041e+00,4.007041e-02,1.560725e+00,1.628800e+00,1.628800e-02
7.932373e-02,3.398686e+00,3.617125e+00,3.617125e-02,1.430337e+00,1.483281e+00,1.483281e-02
8.135767e-02,3.056346e+00,3.322985e+00,3.322985e-02,1.256229e+00,1.273833e+00,1.273833e-02
8.339161e-02,2.747022e+00,2.981963e+00,2.981963e-02,1.156831e+00,1.186194e+00,1.186194e-02
8.542556e-02,2.533305e+00,2.690635e+00,2.690635e-02,1.046433e+00,1.078175e+00,1.078175e-02
8.745950e-02,2.340600e+00,2.499823e+00,2.499823e-02,9.724816e-01,9.936222e-01,9.936222e-03
8.949344e-02,2.099272e+00,2.230461e+00,2.230461e-02,8.696354e-01,8.981200e-01,8.981200e-03
9.152738e-02,1.954124e+00,2.046240e+00,2.046240e-02,7.948883e-01,8.142332e-01,8.142332e-03
9.356132e-02,1.785187e+00,1.877996e+00,1.877996e-02,7.368605e-01,7.602204e-01,7.602204e-03
9.559526e-02,1.654635e+00,1.773920e+00,1.773920e-02,6.465925e-01,6.699428e-01,6.699428e-03
9.762921e-02,1.488398e+00,1.617040e+00,1.617040e-02,5.983890e-01,6.256776e-01,6.256776e-03
9.966315e-02,1.394082e+00,1.491351e+00,1.491351e-02,5.487194e-01,5.510699e-01,5.510699e-03
1.016971e-01,1.298843e+00,1.396309e+00,1.396309e-02,4.951990e-01,5.032853e-01,5.032853e-03
1.037310e-01,1.189739e+00,1.257480e+00,1.257480e-02,4.575047e-01,4.695492e-01,4.695492e-03
1.057650e-01,1.136698e+00,1.192212e+00,1.192212e-02,4.238864e-01,4.270650e-01,4.270650e-03
1.077989e-01,1.029763e+00,1.085880e+00,1.085880e-02,3.854969e-01,3.925071e-01,3.925071e-03
1.098329e-01,9.663083e-01,1.037026e+00,1.037026e-02,3.596945e-01,3.718858e-01,3.718858e-03
1.118668e-01,9.109335e-01,9.686601e-01,9.686601e-03,3.290173e-01,3.294720e-01,3.294720e-03
1.139007e-01,8.460256e-01,8.981157e-01,8.981157e-03,3.079844e-01,3.127360e-01,3.127360e-03
1.159347e-01,8.035882e-01,8.482169e-01,8.482169e-03,2.833740e-01,2.918585e-01,2.918585e-03
1.179686e-01,7.690878e-01,8.124728e-01,8.124728e-03,2.616015e-01,2.675355e-01,2.675355e-03
1.200026e-01,7.206893e-01,7.655613e-01,7.655613e-03,2.436607e-01,2.523929e-01,2.523929e-03
1.220365e-01,6.682864e-01,7.129648e-01,7.129648e-03,2.244550e-01,2.292628e-01,2.292628e-03
1.240704e-01,6.379103e-01,6.877424e-01,6.877424e-03,2.116534e-01,2.155344e-01,2.155344e-03
1.261044e-01,6.162846e-01,6.539059e-01,6.539059e-03,1.986463e-01,2.053698e-01,2.053698e-03
1.281383e-01,5.758099e-01,6.053205e-01,6.053205e-03,1.838122e-01,1.890713e-01,1.890713e-03
1.301723e-01,5.644722e-01,6.080879e-01,6.080879e-03,1.720677e-01,1.767648e-01,1.767648e-03
1.322062e-01,5.343063e-01,5.900417e-01,5.900417e-03,1.618264e-01,1.684059e-01,1.684059e-03
1.342402e-01,5.132714e-01,5.611837e-01,5.611837e-03,1.533499e-01,1.580233e-01,1.580233e-03
1.362741e-01,4.930174e-01,5.507416e-01,5.507416e-03,1.458513e-01,1.481659e-01,1.481659e-03
1.383080e-01,4.782863e-01,5.421357e-01,5.421357e-03,1.355850e-01,1.401679e-01,1.401679e-03
1.403420e-01,4.716743e-01,5.282877e-01,5.282877e-03,1.293097e-01,1.335041e-01,1.335041e-03
1.423759e-01,4.594661e-01,5.462793e-01,5.462793e-03,1.223453e-01,1.286443e-01,1.286443e-03
1.444099e-01,4.363889e-01,5.151327e-01,5.151327e-03,1.142302e-01,1.182265e-01,1.182265e-03
1.464438e-01,4.305885e-01,5.329940e-01,5.329940e-03,1.091777e-01,1.127411e-01,1.127411e-03
1.484778e-01,4.195715e-01,5.192333e-01,5.192333e-03,1.043714e-01,1.090080e-01,1.090080e-03
1.505117e-01,4.044561e-01,5.109750e-01,5.109750e-03,9.919080e-02,1.070352e-01,1.070352e-03
1.525456e-01,3.979897e-01,5.162726e-01,5.162726e-03,9.453530e-02,9.977470e-02,9.977470e-04
1.545796e-01,3.989547e-01,5.476005e-01,5.476005e-03,9.067318e-02,9.751609e-02,9.751609e-04
1.566135e-01,3.959203e-01,5.302669e-01,5.302669e-03,8.664247e-02,9.163334e-02,9.163334e-04
1.586475e-01,3.872857e-01,5.125971e-01,5.125971e-03,8.077855e-02,8.534695e-02,8.534695e-04
1.606814e-01,3.888463e-01,5.666252e-01,5.666252e-03,8.002943e-02,8.569788e-02,8.569788e-04
1.627153e-01,3.792942e-01,5.128576e-01,5.128576e-03,7.505513e-02,8.062747e-02,8.062747e-04
1.647493e-01,3.778721e-01,5.261136e-01,5.261136e-03,7.274152e-02,7.768842e-02,7.768842e-04
1.667832e-01,3.680923e-01,4.853351e-01,4.853351e-03,6.972780e-02,7.374276e-02,7.374276e-04
1.688172e-01,3.700562e-01,4.803259e-01,4.803259e-03,6.727652e-02,7.260887e-02,7.260887e-04
1.708511e-01,3.674629e-01,4.767829e-01,4.767829e-03,6.346360e-02,6.796696e-02,6.796696e-04
1.728851e-01,3.610975e-01,4.763264e-01,4.763264e-03,6.266015e-02,6.707919e-02,6.707919e-04
1.749190e-01,3.561590e-01,4.698273e-01,4.698273e-03,5.893035e-02,6.327692e-02,6.327692e-04
1.769529e-01,3.525129e-01,4.563928e-01,4.563928e-03,5.750642e-02,6.227985e-02,6.227985e-04
1.789869e-01,3.464068e-01,4.515707e-01,4.515707e-03,5.489041e-02,6.057850e-02,6.057850e-04
1.810208e-01,3.532255e-01,4.762757e-01,4.762757e-03,5.315986e-02,5.910646e-02,5.910646e-04
1.830548e-01,3.350792e-01,4.229483e-01,4.229483e-03,5.062579e-02,5.499421e-02,5.499421e-04
1.850887e-01,3.319218e-01,4.195578e-01,4.195578e-03,4.899975e-02,5.260486e-02,5.260486e-04
1.871226e-01,3.275827e-01,4.221732e-01,4.221732e-03,4.853512e-02,5.396771e-02,5.396771e-04
1.891566e-01,3.205980e-01,3.941442e-01,3.941442e-03,4.521667e-02,4.894034e-02,4.894034e-04
1.911905e-01,3.135519e-01,3.948166e-01,3.948166e-03,4.292911e-02,4.712653e-02,4.712653e-04
1.932245e-01,3.060557e-01,3.695394e-01,3.695394e-03,4.180731e-02,4.530062e-02,4.530062e-04
1.952584e-01,2.985892e-01,3.710544e-01,3.710544e-03,4.033780e-02,4.485425e-02,4.485425e-04
1.972924e-01,2.877833e-01,3.393714e-01,3.393714e-03,3.771425e-02,4.101973e-02,4.101973e-04
1.993263e-01,2.743627e-01,3.211328e-01,3.211328e-03,3.633189e-02,3.893985e-02,3.893985e-04
2.013602e-01,2.680235e-01,3.185365e-01,3.185365e-03,3.421627e-02,3.687829e-02,3.687829e-04
2.033942e-01,2.611030e-01,3.026735e-01,3.026735e-03,3.367694e-02,3.666496e-02,3.666496e-04
2.054281e-01,2.493859e-01,2.896046e-01,2.896046e-03,3.166012e-02,3.389964e-02,3.389964e-04
2.074621e-01,2.378556e-01,2.759707e-01,2.759707e-03,3.011282e-02,3.232119e-02,3.232119e-04
2.094960e-01,2.297654e-01,2.626132e-01,2.626132e-03,2.897930e-02,3.100945e-02,3.100945e-04
2.115299e-01,2.164869e-01,2.450885e-01,2.450885e-03,2.788901e-02,2.943203e-02,2.943203e-04
2.135639e-01,2.065199e-01,2.342359e-01,2.342359e-03,2.585642e-02,2.799489e-02,2.799489e-04
2.155978e-01,1.972340e-01,2.207513e-01,2.207513e-03,2.442187e-02,2.614594e-02,2.614594e-04
2.176318e-01,1.859217e-01,2.047064e-01,2.047064e-03,2.369807e-02,2.508812e-02,2.508812e-04
2.196657e-01,1.815708e-01,2.016867e-01,2.016867e-03,2.237850e-02,2.403176e-02,2.403176e-04
2.216997e-01,1.678208e-01,1.854500e-01,1.854500e-03,2.092507e-02,2.247003e-02,2.247003e-04
2.237336e-01,1.562431e-01,1.704711e-01,1.704711e-03,1.948049e-02,2.061149e-02,2.061149e-04
2.257675e-01,1.477678e-01,1.609959e-01,1.609959e-03,1.872507e-02,2.001662e-02,2.001662e-04
2.278015e-01,1.380417e-01,1.477132e-01,1.477132e-03,1.758835e-02,1.838362e-02,1.838362e-04
2.298354e-01,1.276433e-01,1.370456e-01,1.370456e-03,1.588565e-02,1.704638e-02,1.704638e-04
2.318694e-01,1.206368e-01,1.293360e-01,1.293360e-03,1.515558e-02,1.593257e-02,1.593257e-04
2.339033e-01,1.121829e-01,1.194874e-01,1.194874e-03,1.458274e-02,1.527636e-02,1.527636e-04
2.359372e-01,1.064717e-01,1.148922e-01,1.148922e-03,1.345632e-02,1.400484e-02,1.400484e-04
2.379712e-01,1.010216e-01,1.076381e-01,1.076381e-03,1.261373e-02,1.334195e-02,1.334195e-04
2.400051e-01,9.443208e-02,9.811426e-02,9.811426e-04,1.185699e-02,1.217528e-02,1.217528e-04
2.420391e-01,8.793327e-02,9.494822e-02,9.494822e-04,1.123729e-02,1.188101e-02,1.188101e-04
2.440730e-01,8.010649e-02,8.384594e-02,8.384594e-04,1.036934e-02,1.085564e-02,1.085564e-04
2.461070e-01,7.579327e-02,7.966204e-02,7.966204e-04,9.723989e-03,1.016629e-02,1.016629e-04
2.481409e-01,6.977052e-02,7.243379e-02,7.243379e-04,8.923549e-03,9.293993e-03,9.293993e-05
2.501748e-01,6.634485e-02,6.997948e-02,6.997948e-04,8.492381e-03,8.929912e-03,8.929912e-05
2.522088e-01,6.102923e-02,6.400997e-02,6.400997e-04,7.859851e-03,8.118424e-03,8.118424e-05
2.542427e-01,5.751249e-02,5.917423e-02,5.917423e-04,7.362403e-03,7.749664e-03,7.749664e-05
2.562767e-01,5.256340e-02,5.607981e-02,5.607981e-04,6.669465e-03,7.010909e-03,7.010909e-05
2.583106e-01,4.950492e-02,5.217599e-02,5.217599e-04,6.388552e-03,6.616836e-03,6.616836e-05
2.603446e-01,4.631703e-02,4.960173e-02,4.960173e-04,5.877220e-03,6.081247e-03,6.081247e-05
2.623785e-01,4.270882e-02,4.502619e-02,4.502619e-04,5.522631e-03,5.810369e-03,5.810369e-05
2.644124e-01,3.988798e-02,4.240560e-02,4.240560e-04,5.131709e-03,5.361286e-03,5.361286e-05
2.664464e-01,3.685139e-02,3.732095e-02,3.732095e-04,4.809627e-03,5.112256e-03,5.112256e-05
2.684803e-01,3.481984e-02,3.650529e-02,3.650529e-04,4.509404e-03,4.744852e-03,4.744852e-05
2.705143e-01,3.230432e-02,3.487593e-02,3.487593e-04,4.194428e-03,4.470256e-03,4.470256e-05
2.725482e-01,3.035417e-02,3.154973e-02,3.154973e-04,3.924170e-03,4.089029e-03,4.089029e-05
2.745821e-01,2.799802e-02,2.921355e-02,2.921355e-04,3.640349e-03,3.724546e-03,3.724546e-05
2.766161e-01,2.668520e-02,2.858061e-02,2.858061e-04,3.396390e-03,3.606952e-03,3.606952e-05
2.786500e-01,2.496832e-02,2.658153e-02,2.658153e-04,3.185928e-03,3.395388e-03,3.395388e-05
2.806840e-01,2.339316e-02,2.469711e-02,2.469711e-04,3.032832e-03,3.222713e-03,3.222713e-05
2.827179e-01,2.218094e-02,2.304354e-02,2.304354e-04,2.772557e-03,2.872112e-03,2.872112e-05
2.847519e-01,2.073805e-02,2.205491e-02,2.205491e-04,2.573570e-03,2.686530e-03,2.686530e-05
2.867858e-01,1.949007e-02,2.060414e-02,2.060414e-04,2.425278e-03,2.549624e-03,2.549624e-05
2.888197e-01,1.849125e-02,1.953184e-02,1.953184e-04,2.257412e-03,2.400529e-03,2.400529e-05
2.908537e-01,1.738438e-02,1.889209e-02,1.889209e-04,2.131293e-03,2.216480e-03,2.216480e-05
2.928876e-01,1.643031e-02,1.779857e-02,1.779857e-04,1.967944e-03,2.046541e-03,2.046541e-05
2.949216e-01,1.560544e-02,1.679015e-02,1.679015e-04,1.891801e-03,1.992264e-03,1.992264e-05
2.969555e-01,1.451951e-02,1.586203e-02,1.586203e-04,1.736705e-03,1.819152e-03,1.819152e-05
2.989894e-01,1.389435e-02,1.490871e-02,1.490871e-04,1.644676e-03,1.750396e-03,1.750396e-05
3.010234e-01,1.268176e-02,1.399554e-02,1.399554e-04,1.554185e-03,1.663374e-03,1.663374e-05
3.030573e-01,1.232955e-02,1.367205e-02,1.367205e-04,1.428370e-03,1.513492e-03,1.513492e-05
3.050913e-01,1.163302e-02,1.291525e-02,1.291525e-04,1.348785e-03,1.449429e-03,1.449429e-05
3.071252e-01,1.092731e-02,1.208577e-02,1.208577e-04,1.271903e-03,1.346647e-03,1.346647e-05
3.091592e-01,1.042480e-02,1.152806e-02,1.152806e-04,1.222195e-03,1.336392e-03,1.336392e-05
3.111931e-01,9.617640e-03,1.062312e-02,1.062312e-04,1.121848e-03,1.155548e-03,1.155548e-05
3.132270e-01,9.267068e-03,1.052041e-02,1.052041e-04,1.057716e-03,1.136901e-03,1.136901e-05
3.152610e-01,8.669467e-03,9.637050e-03,9.637050e-05,9.943665e-04,1.076244e-03,1.076244e-05
3.172949e-01,8.275654e-03,9.263269e-03,9.263269e-05,9.280067e-04,9.849958e-04,9.849958e-06
3.193289e-01,7.730397e-03,8.744353e-03,8.744353e-05,8.683473e-04,9.267128e-04,9.267128e-06
3.213628e-01,7.478852e-03,8.496061e-03,8.496061e-05,8.309583e-04,8.969831e-04,8.969831e-06
3.233967e-01,7.171248e-03,8.027404e-03,8.027404e-05,7.696691e-04,8.365250e-04,8.365250e-06
3.254307e-01,6.709337e-03,7.810995e-03,7.810995e-05,7.323663e-04,8.011640e-04,8.011640e-06
3.274646e-01,6.437211e-03,7.194832e-03,7.194832e-05,6.798296e-04,7.416990e-04,7.416990e-06
3.294986e-01,6.111083e-03,6.916842e-03,6.916842e-05,6.431946e-04,6.979208e-04,6.979208e-06
3.315325e-01,5.761152e-03,6.625560e-03,6.625560e-05,6.073389e-04,6.674284e-04,6.674284e-06
3.335665e-01,5.319764e-03,6.106280e-03,6.106280e-05,5.687442e-04,6.196773e-04,6.196773e-06
3.356004e-01,5.157196e-03,5.840176e-03,5.840176e-05,5.378413e-04,5.745931e-04,5.745931e-06
3.376343e-01,4.975091e-03,5.857244e-03,5.857244e-05,5.108447e-04,5.515922e-04,5.515922e-06
3.396683e-01,4.597898e-03,5.226794e-03,5.226794e-05,4.663617e-04,5.072168e-04,5.072168e-06
3.417022e-01,4.375015e-03,5.033668e-03,5.033668e-05,4.433489e-04,4.899363e-04,4.899363e-06
3.437362e-01,4.205112e-03,4.956410e-03,4.956410e-05,4.223128e-04,4.647493e-04,4.647493e-06
3.457701e-01,3.974360e-03,4.516973e-03,4.516973e-05,3.937230e-04,4.320575e-04,4.320575e-06
3.478040e-01,3.778703e-03,4.392780e-03,4.392780e-05,3.722898e-04,4.222357e-04,4.222357e-06
3.498380e-01,3.585976e-03,4.126012e-03,4.126012e-05,3.482229e-04,3.934845e-04,3.934845e-06
3.518719e-01,3.458759e-03,3.992739e-03,3.992739e-05,3.325375e-04,3.778450e-04,3.778450e-06
3.539059e-01,3.202990e-03,3.729846e-03,3.729846e-05,3.079670e-04,3.416802e-04,3.416802e-06
3.559398e-01,3.055213e-03,3.623957e-03,3.623957e-05,2.899829e-04,3.210210e-04,3.210210e-06
3.579738e-01,2.951859e-03,3.520704e-03,3.520704e-05,2.765054e-04,3.131896e-04,3.131896e-06
3.600077e-01,2.782997e-03,3.276590e-03,3.276590e-05,2.533965e-04,2.870291e-04,2.870291e-06
3.620416e-01,2.652623e-03,3.171393e-03,3.171393e-05,2.452020e-04,2.757789e-04,2.757789e-06
3.640756e-01,2.530413e-03,3.008698e-03,3.008698e-05,2.312208e-04,2.556465e-04,2.556465e-06
3.661095e-01,2.348984e-03,2.762868e-03,2.762868e-05,2.195870e-04,2.495558e-04,2.495558e-06
3.681435e-01,2.280097e-03,2.719879e-03,2.719879e-05,2.010705e-04,2.337497e-04,2.337497e-06
3.701774e-01,2.134143e-03,2.542235e-03,2.542235e-05,1.965445e-04,2.288925e-04,2.288925e-06
3.722113e-01,2.075387e-03,2.407310e-03,2.407310e-05,1.849442e-04,2.156274e-04,2.156274e-06
3.742453e-01,1.982031e-03,2.357253e-03,2.357253e-05,1.695656e-04,1.965006e-04,1.965006e-06
3.762792e-01,1.868515e-03,2.138259e-03,2.138259e-05,1.620684e-04,1.864278e-04,1.864278e-06
3.783132e-01,1.754555e-03,2.156984e-03,2.156984e-05,1.514845e-04,1.722317e-04,1.722317e-06
3.803471e-01,1.688539e-03,2.064150e-03,2.064150e-05,1.417903e-04,1.634933e-04,1.634933e-06
3.823811e-01,1.592088e-03,1.847422e-03,1.847422e-05,1.390101e-04,1.673293e-04,1.673293e-06
3.844150e-01,1.500743e-03,1.772897e-03,1.772897e-05,1.278068e-04,1.551141e-04,1.551141e-06
3.864489e-01,1.455526e-03,1.766385e-03,1.766385e-05,1.210496e-04,1.438326e-04,1.438326e-06
3.884829e-01,1.394425e-03,1.646527e-03,1.646527e-05,1.153499e-04,1.402274e-04,1.402274e-06
3.905168e-01,1.314092e-03,1.542430e-03,1.542430e-05,1.073307e-04,1.315509e-04,1.315509e-06
3.925508e-01,1.245242e-03,1.492391e-03,1.492391e-05,1.011800e-04,1.225299e-04,1.225299e-06
3.945847e-01,1.159986e-03,1.356819e-03,1.356819e-05,9.552805e-05,1.181410e-04,1.181410e-06
3.966187e-01,1.107340e-03,1.319893e-03,1.319893e-05,8.828812e-05,1.057411e-04,1.057411e-06
3.986526e-01,1.070146e-03,1.263840e-03,1.263840e-05,8.521968e-05,1.039116e-04,1.039116e-06
4.006865e-01,1.001212e-03,1.182136e-03,1.182136e-05,7.954530e-05,9.997773e-05,9.997773e-07
4.027205e-01,9.580920e-04,1.123421e-03,1.123421e-05,7.457777e-05,9.398503e-05,9.398503e-07
4.047544e-01,8.855889e-04,1.052995e-03,1.052995e-05,7.050972e-05,8.747956e-05,8.747956e-07
4.067884e-01,8.539586e-04,9.947749e-04,9.947749e-06,6.568441e-05,8.064232e-05,8.064232e-07
4.088223e-01,8.087224e-04,9.465916e-04,9.465916e-06,6.337521e-05,7.970839e-05,7.970839e-07
4.108562e-01,7.514475e-04,8.770277e-04,8.770277e-06,5.855338e-05,7.408415e-05,7.408415e-07
4.128902e-01,7.280100e-04,8.468113e-04,8.468113e-06,5.534309e-05,6.853499e-05,6.853499e-07
4.149241e-01,6.949136e-04,7.950637e-04,7.950637e-06,5.249946e-05,6.817797e-05,6.817797e-07
4.169581e-01,6.537846e-04,7.684524e-04,7.684524e-06,5.033644e-05,6.724279e-05,6.724279e-07
4.189920e-01,6.144662e-04,7.159689e-04,7.159689e-06,4.637968e-05,6.057926e-05,6.057926e-07
4.210260e-01,5.845299e-04,6.904419e-04,6.904419e-06,4.472582e-05,5.966471e-05,5.966471e-07
4.230599e-01,5.451004e-04,6.347494e-04,6.347494e-06,4.193000e-05,5.812368e-05,5.812368e-07
4.250938e-01,5.167813e-04,5.965068e-04,5.965068e-06,4.012551e-05,5.323711e-05,5.323711e-07
4.271278e-01,5.027711e-04,5.829057e-04,5.829057e-06,3.774607e-05,5.096208e-05,5.096208e-07
4.291617e-01,4.585366e-04,5.397535e-04,5.397535e-06,3.538968e-05,4.847044e-05,4.847044e-07
4.311957e-01,4.399809e-04,5.103009e-04,5.103009e-06,3.394739e-05,4.961098e-05,4.961098e-07
4.332296e-01,4.072435e-04,4.710889e-04,4.710889e-06,3.173991e-05,4.481291e-05,4.481291e-07
4.352635e-01,3.880144e-04,4.476683e-04,4.476683e-06,3.063741e-05,4.359827e-05,4.359827e-07
4.372975e-01,3.731210e-04,4.281279e-04,4.281279e-06,2.826095e-05,3.908533e-05,3.908533e-07
4.393314e-01,3.472696e-04,4.020790e-04,4.020790e-06,2.688719e-05,3.913070e-05,3.913070e-07
4.413654e-01,3.311717e-04,3.921622e-04,3.921622e-06,2.584056e-05,3.705045e-05,3.705045e-07
4.433993e-01,3.098447e-04,3.571865e-04,3.571865e-06,2.422582e-05,3.464923e-05,3.464923e-07
4.454333e-01,2.959305e-04,3.356699e-04,3.356699e-06,2.264411e-05,3.315030e-05,3.315030e-07
4.474672e-01,2.766681e-04,3.217633e-04,3.217633e-06,2.146773e-05,3.204177e-05,3.204177e-07
4.495011e-01,2.620882e-04,3.067747e-04,3.067747e-06,2.014153e-05,2.973077e-05,2.973077e-07
4.515351e-01,2.480064e-04,2.854299e-04,2.854299e-06,1.904416e-05,2.802188e-05,2.802188e-07
4.535690e-01,2.335293e-04,2.743119e-04,2.743119e-06,1.810905e-05,2.739264e-05,2.739264e-07
4.556030e-01,2.231974e-04,2.607255e-04,2.607255e-06,1.719437e-05,2.754093e-05,2.754093e-07
4.576369e-01,2.090390e-04,2.434371e-04,2.434371e-06,1.650548e-05,2.576199e-05,2.576199e-07
4.596708e-01,1.972981e-04,2.266073e-04,2.266073e-06,1.551023e-05,2.469050e-05,2.469050e-07
4.617048e-01,1.871750e-04,2.217713e-04,2.217713e-06,1.485187e-05,2.433197e-05,2.433197e-07
4.637387e-01,1.761886e-04,2.057604e-04,2.057604e-06,1.357011e-05,2.309659e-05,2.309659e-07
4.657727e-01,1.673719e-04,1.967266e-04,1.967266e-06,1.319945e-05,2.318482e-05,2.318482e-07
4.678066e-01,1.572599e-04,1.880441e-04,1.880441e-06,1.238415e-05,2.121892e-05,2.121892e-07
4.698406e-01,1.507544e-04,1.787626e-04,1.787626e-06,1.177395e-05,2.068576e-05,2.068576e-07
4.718745e-01,1.414431e-04,1.688183e-04,1.688183e-06,1.117616e-05,2.005529e-05,2.005529e-07
4.739084e-01,1.336334e-04,1.625123e-04,1.625123e-06,1.074087e-05,1.933754e-05,1.933754e-07
4.759424e-01,1.268351e-04,1.543211e-04,1.543211e-06,1.026850e-05,1.872243e-05,1.872243e-07
4.779763e-01,1.193433e-04,1.376577e-04,1.376577e-06,9.429522e-06,1.745851e-05,1.745851e-07
4.800103e-01,1.115163e-04,1.344165e-04,1.344165e-06,8.970263e-06,1.661466e-05,1.661466e-07
4.820442e-01,1.057501e-04,1.276310e-04,1.276310e-06,8.608967e-06,1.574556e-05,1.574556e-07
4.840781e-01,1.010649e-04,1.250738e-04,1.250738e-06,8.170304e-06,1.532621e-05,1.532621e-07
4.861121e-01,9.732291e-05,1.166008e-04,1.166008e-06,7.785578e-06,1.550520e-05,1.550520e-07
4.881460e-01,9.120934e-05,1.120014e-04,1.120014e-06,7.259815e-06,1.422816e-05,1.422816e-07
4.901800e-01,8.632441e-05,1.035814e-04,1.035814e-06,6.929182e-06,1.367753e-05,1.367753e-07
4.922139e-01,8.075240e-05,9.913848e-05,9.913848e-07,6.491227e-06,1.269501e-05,1.269501e-07
4.942479e-01,7.775248e-05,9.540869e-05,9.540869e-07,6.259669e-06,1.219003e-05,1.219003e-07
4.962818e-01,7.339561e-05,8.924956e-05,8.924956e-07,5.947043e-06,1.230828e-05,1.230828e-07
4.983157e-01,7.058317e-05,8.583128e-05,8.583128e-07,5.649465e-06,1.145102e-05,1.145102e-07
5.003497e-01,6.891369e-05,8.554825e-05,8.554825e-07,5.456229e-06,1.144938e-05,1.144938e-07
5.023836e-01,6.375532e-05,7.928295e-05,7.928295e-07,5.139185e-06,1.087352e-05,1.087352e-07
